battery_id,strategy,strategy_code,dataset_id,prediction_test,a,d1,d2,R100,R200,A,quadratic_eol,d1_lower_boundary,d2_lower_boundary,a_lower_boundary,a_upper_boundary,physical_parameter_status,SOH_slope_1_50_per100,SOH_slope_50_100_per100,SOH_slope_100_150_per100,SOH_slope_150_200_per100,SOH_slope_50_200_per100,SOH_150,SOH_200,mean_chargetime_observed,mean_Tavg_observed,mean_IR_observed,reliability,quadratic_fit_rmse,quadratic_fit_status
18,5C_67PER_4C_NEWSTRUCTURE,S4,3,0,0.9998176842115165,8.856863358447234e-11,0.0012607912663639372,0.0025215826212965082,0.005043165154024382,0.0025215825327278745,1258.9119719933055,True,False,False,False,physical,0.001836183696,-0.002825066502,-0.003334446755,-0.003618778662,-0.003276316358,0.9968780797,0.9948971111,10.04330992,33.26097257,0.01523720011,moderate_model_sensitivity,0.0004180230235,ok
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,3,0,0.9998210590100024,2.441234164442596e-13,0.0006472834168364555,0.0012945668339170344,0.002589133667589945,0.001294566833672911,1757.0065794736151,True,False,False,False,physical,0.00052221663,-0.001502266153,-0.001620467369,-0.002295165675,-0.0016184184,0.9984097256,0.997144473,10.04145418,33.25028726,0.01582847896,high_model_sensitivity,0.0003853215936,ok
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,3,0,0.9998685258895389,1.3412521394358792e-08,0.00103454461386232,0.0020691026402460343,0.004138191867970675,0.00206908922772464,1389.9442784666644,False,False,False,False,physical,0.00204769743,-0.00229722986,-0.002645372582,-0.003209761733,-0.002689818393,0.9974989319,0.9957860189,11.03937783,32.71217193,0.01537341533,moderate_model_sensitivity,0.0003452731359,ok
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,3,0,0.9999541670600458,0.0007052166078838869,0.0013876423063383099,0.003480501220560507,0.006255785833237127,0.0027752846126766198,1175.2596342059178,False,False,False,False,physical,-0.0001142507821,-0.003601165775,-0.004086705571,-0.004958917855,-0.004189451675,0.9957174608,0.9931672837,10.04235453,34.42251757,0.015513438,moderate_model_sensitivity,0.0002806306945,ok
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,3,0,0.9997279519140132,3.1753636247956236e-05,0.0007740075740182182,0.0015797687842843927,0.003127783932320829,0.0015480151480364364,1604.324626526819,False,False,False,False,physical,0.001076197851,-0.001931557341,-0.001690241155,-0.002534973283,-0.001917333501,0.9979631777,0.9965785433,10.04253499,33.40710109,0.01606545915,high_model_sensitivity,0.0002803918288,ok
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,3,0,0.999876060478212,0.00029905838122782946,0.001598654641481321,0.0034963676641904715,0.006693676947153114,0.003197309282962642,1108.843394411142,False,False,False,False,physical,0.000787393838,-0.003640674512,-0.004181472844,-0.005085120637,-0.004312455579,0.995758374,0.9930244044,10.04234464,34.34268106,0.01507903914,moderate_model_sensitivity,0.0004422256627,ok
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,3,0,0.9985618030715351,2.3110285412981476e-09,0.00110731735387139,0.002214637018771321,0.004429271726514101,0.00221463470774278,1339.0961671215273,True,False,False,False,physical,6.127333287e-05,-0.001900922321,-0.003179693542,-0.003230269995,-0.002885738232,0.9959444915,0.9944397446,10.04224153,35.33751587,0.01543635231,moderate_model_sensitivity,0.0004954306843,ok
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,3,0,1.0001420606922504,0.0022498072239722205,0.0005331319590916348,0.00331607114215549,0.004382335060338759,0.0010662639181832697,1738.001086524034,False,False,False,False,physical,-0.0014557417,-0.003973706305,-0.00292443022,-0.004207406145,-0.003582923081,0.995668424,0.9935300065,10.04310122,35.55678663,0.01502434032,high_model_sensitivity,0.0002409445297,ok
28,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,3,0,1.000291381002149,0.002453784047197501,0.0004403790048400163,0.0033345420568775337,0.004215300066557567,0.0008807580096800326,1872.1627563916006,False,False,False,False,physical,-0.001132993927,-0.003900743285,-0.003167476097,-0.004075560566,-0.003551131165,0.9957261552,0.9935958917,10.04321072,35.34140593,0.01548083147,high_model_sensitivity,0.0002017410645,ok
29,5C_67PER_4C_NEWSTRUCTURE,S4,3,0,0.999804738875296,1.2751120621691523e-07,0.0012020958935843138,0.0024043192983748446,0.004808511085543472,0.0024041917871686276,1289.233401788421,False,False,False,False,physical,0.00137294795,-0.002439172129,-0.002903301164,-0.003797686084,-0.003017894132,0.9971048485,0.995053273,10.04321391,33.2927984,0.0152837456,moderate_model_sensitivity,0.000287213116,ok
30,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,3,0,1.0013685898481446,0.015040946850124652,1.3889813791154803e-10,0.015040947127920928,0.015040947405717204,2.7779627582309606e-10,1338.8024502627054,False,True,False,False,physical,-0.01430570485,-0.01580732207,-0.01463491668,-0.0148534589,-0.01498567264,0.9787350669,0.9715132428,10.11134814,35.23541112,0.01414735971,conditionally_stable,0.0002524116629,ok
31,5C_67PER_4C_NEWSTRUCTURE,S4,3,0,0.9999132954589426,3.0025663494531877e-12,0.001070551209766872,0.0021411024225363104,0.004282204842070054,0.002141102419533744,1366.5235352507793,True,False,False,False,physical,0.003260758411,-0.001617945782,-0.00303920044,-0.004097656188,-0.003048908644,0.9975122593,0.995380574,10.0418271,34.90875344,0.0155640853,high_model_sensitivity,0.0005797458157,ok
32,5_3C_54PER_4C_NEWSTRUCTURE,S5,3,0,0.9998913231283387,1.5753179807967204e-07,0.0009828169210752708,0.0019657913739486214,0.0039314252160991625,0.0019656338421505416,1426.1270527157565,False,False,False,False,physical,0.00351834077,-0.00156918184,-0.002978163992,-0.003110731628,-0.002750514592,0.9975803717,0.9958309134,10.04242337,35.83041718,0.01566257602,high_model_sensitivity,0.0005617010295,ok
33,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,3,0,0.9998213901392844,2.277471916731135e-08,0.0011242113881648062,0.00224844555104878,0.004496868327378392,0.0022484227763296125,1333.2041837684158,False,False,False,False,physical,0.001452498947,-0.001704121925,-0.003070357472,-0.003840973695,-0.00300736953,0.9972544082,0.9951347588,10.04234366,36.02199454,0.01560758631,high_model_sensitivity,0.0004352901321,ok
34,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,3,0,0.9998361605117256,6.502241842092987e-11,0.001405636079699191,0.0028112722244208006,0.005622544383819182,0.002811272159398382,1192.341306609216,True,False,False,False,physical,0.001762839426,-0.002759381295,-0.003851652367,-0.004365866406,-0.003673665256,0.9965804691,0.9942263059,10.04498936,35.54551888,0.01493029507,moderate_model_sensitivity,0.00026205032,ok
35,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,3,0,1.0018694547100901,0.017977910831506964,0.0015855261725875257,0.021148963176682016,0.024320015521857065,0.0031710523451750515,695.8446052944973,False,False,False,False,physical,-0.0170625795,-0.02117006221,-0.02240599376,-0.02142836132,-0.02213454901,0.9710439129,0.9603780766,10.15574018,36.12447242,0.0135663474,moderate_model_sensitivity,0.0003603831005,ok
36,5_3C_54PER_4C_NEWSTRUCTURE,S5,3,0,0.999863239935383,1.3545507357484716e-08,0.0011182850399445894,0.0022365836253965365,0.004473153705285715,0.002236570079889179,1336.872554265517,False,False,False,False,physical,0.001419443529,-0.002034045851,-0.003045154278,-0.003691080634,-0.00287386046,0.9972952629,0.9952886918,10.04299226,32.4113852,0.01558392666,moderate_model_sensitivity,0.000341465139,ok
37,5C_67PER_4C_NEWSTRUCTURE,S4,3,0,0.9999405112563673,0.0006324688049726769,0.0010370215799537905,0.0027065119648802577,0.004780555124787839,0.002074043159907581,1358.37427583333,False,False,False,False,physical,0.0007078848606,-0.003062985955,-0.003122140034,-0.003367639524,-0.003271222662,0.9964947744,0.994862211,10.04327314,33.3040912,0.0153456385,high_model_sensitivity,0.0002705177605,ok
38,5_3C_54PER_4C_NEWSTRUCTURE,S5,3,0,1.0001304193742417,0.0015957247251289313,0.0008614838788717024,0.003318692482872336,0.005041660240615741,0.0017229677577434049,1434.3648280688924,False,False,False,False,physical,-0.0005065092365,-0.003653897424,-0.00355558808,-0.003820473984,-0.003779316881,0.9957123621,0.9938125656,10.0436503,36.0466347,0.01532282433,high_model_sensitivity,0.0003199606206,ok
39,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,3,0,1.000003428878095,0.0012048214976729343,0.0007893367902894145,0.002783495078251763,0.004362168658830592,0.001578673580578829,1517.3064093761568,False,False,False,False,physical,-6.226193356e-05,-0.003004930585,-0.003102316858,-0.003675808456,-0.003163033575,0.9963718783,0.9945742643,10.04356303,35.80596431,0.01537889168,high_model_sensitivity,0.0002049925319,ok
40,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,3,0,0.9999881549945111,0.0015678341141929883,0.0010006938859602273,0.003569221886113443,0.005570609658033897,0.0020013877719204545,1337.5127715882047,False,False,False,False,physical,-0.0002820098638,-0.003795595163,-0.003872176613,-0.004563470543,-0.004077202235,0.9953191193,0.9930949433,10.04348918,36.14380225,0.01514374136,high_model_sensitivity,0.0003322460493,ok
41,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,3,0,0.9545430951572784,5.997771059080007e-11,0.0012647625524169887,0.002529525164811688,0.005059050269645665,0.0025295251048339774,1105.4021447137998,True,False,False,False,physical,0.003754350625,-0.003250519635,-0.003267544848,-0.003670111779,-0.003413918273,0.9516005174,0.9497608481,11.0384405,35.27636197,0.01473660273,moderate_model_sensitivity,0.000390128937,ok
42,5C_67PER_4C_NEWSTRUCTURE,S4,3,0,0.9997556379402708,0.00028005102696311503,0.0007776114361425125,0.00183527389924814,0.0033904967715331653,0.001555222872285025,1584.8529440653128,False,False,False,False,physical,0.0005294968273,-0.001922118559,-0.002067513864,-0.002598245104,-0.002232664405,0.9975299751,0.9962557123,10.04365806,34.99712902,0.01584251529,high_model_sensitivity,0.0002179978629,ok
43,5_3C_54PER_4C_NEWSTRUCTURE,S5,3,0,0.9997713160723966,0.0004480813928356446,0.0011514082949781342,0.002750897982791913,0.005053714572748181,0.0023028165899562684,1297.8862440868063,False,False,False,False,physical,0.002720507759,-0.003281314474,-0.003298249553,-0.003221171387,-0.00340494664,0.9962486344,0.9947090565,10.04326176,34.07344611,0.01557749396,moderate_model_sensitivity,0.0005445986189,ok
44,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,3,0,0.9997879150450046,4.383625407747251e-08,0.001532355121239037,0.0030647540787321517,0.006129464321210225,0.003064710242478074,1141.8376296980462,False,False,False,False,physical,0.001469975549,-0.003090539708,-0.003668224168,-0.004753584976,-0.003828443585,0.9962870081,0.9937721728,10.04352428,34.39498074,0.0153283778,moderate_model_sensitivity,0.0003819484935,ok
45,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,3,0,0.9999561327684247,9.864322242244294e-12,0.0007947851018067438,0.0015895702134778099,0.0031791404170912973,0.0015895702036134876,1586.1436078563345,True,False,False,False,physical,0.003657422169,-0.001392160088,-0.002141585994,-0.003094306137,-0.002209298665,0.9982147832,0.9966085775,10.04309163,33.84210321,0.01832409644,high_model_sensitivity,0.0004875659464,ok
46,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,3,0,0.9998889683099532,9.893838857580192e-11,0.000734952614332762,0.0014699053276039126,0.002939810556269437,0.001469905228665524,1649.1674024257047,True,False,False,False,physical,0.002628473597,-0.001425637045,-0.002268548221,-0.00235006526,-0.001999693054,0.9982209931,0.9970277226,11.03846341,33.54314782,0.01597274811,high_model_sensitivity,0.0003460575955,ok
47,5C_67PER_4C_NEWSTRUCTURE,S4,3,0,0.9999311805371582,2.966731038944384e-11,0.0008004680598065319,0.0016009361492803744,0.003201872268893438,0.0016009361196130639,1580.404512222997,True,False,False,False,physical,0.001173961189,-0.0007398347449,-0.001986696773,-0.003398876565,-0.002172475693,0.9982534492,0.9963546461,10.04372437,34.46198426,0.01571161009,high_model_sensitivity,0.0003437393062,ok
48,5_3C_54PER_4C_NEWSTRUCTURE,S5,3,0,0.999809942281076,7.173346694476588e-15,0.0007298567961305374,0.0014597135922682482,0.0029194271845293233,0.0014597135922610749,1654.5874237426563,True,False,False,False,physical,0.002810003767,-0.001723002822,-0.001810310001,-0.00244828484,-0.001903738452,0.9981814931,0.996787034,10.04311782,33.54646485,0.01558388498,high_model_sensitivity,0.000502861751,ok
49,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,3,0,0.9996908586764325,3.3552973549977186e-08,0.0006604756850044791,0.0013209849229825082,0.0026419362929914667,0.0013209513700089583,1738.8016387612909,False,False,False,False,physical,0.002343414213,-0.001776791782,-0.001502339864,-0.002719024816,-0.001677276261,0.9983066831,0.9967894897,11.03899925,32.9119221,0.01562216493,high_model_sensitivity,0.0002634218919,ok
