battery_id,global_id,dataset_id,local_id,policy,C1,Q1,C2,initial_capacity,mean_chargetime,mean_IR,mean_Tavg,prediction_test
38,129,3,35,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0,1.0642781,10.1409416436186,0.0155329390216076,37.3183949827542,0
39,130,3,36,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0654298,10.2255189026251,0.0155038318296703,37.1445099087198,0
40,131,3,37,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0606048,10.1933407266812,0.0153117584880694,37.4656845936636,0
41,132,3,38,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.099805,11.1030957823375,0.0147891851738661,36.540912550649,0
42,133,3,39,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0,1.0726566,10.1268713745261,0.016020166975181,36.2175029820195,0
43,134,3,40,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0,1.0515106,10.1135283477634,0.0156783308831169,35.02828334614,0
44,135,3,41,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0638335,10.275761475891,0.0154024676779874,35.6420392179827,0
45,136,3,42,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0548838,10.2448038980892,0.0184627738942675,34.7929750807789,0
46,137,3,43,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.0699885,11.1688661019703,0.0160106622023157,34.7899428590273,0
47,138,3,44,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0,1.073334,10.1793261977671,0.0159244541636364,35.4303828599364,0
48,139,3,45,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4.0,1.0739049,10.1638524955626,0.0156670028477103,34.4465209353796,0
49,140,3,46,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.0721447,11.1468243490742,0.0156723353866667,33.7223749238768,0
