battery_id,strategy,strategy_code,scheme,estimated_eol,actual200_quadratic_reference,absolute_difference_from_reference,relative_difference_from_reference
12,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,group_constrained_quadratic,1585.9031085771878,1467.929297,117.97381157718792,0.08036750258904869
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_150,1256.4543141177353,1473.731023,217.27670888226476,0.14743308344012837
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_predicted_200,1465.7403087597106,1473.731023,7.990714240289435,0.0054220981410998195
13,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,group_constrained_quadratic,1447.9357249237553,1473.731023,25.795298076244762,0.01750339626001397
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_150,1113.9742689796888,1154.221977,40.247708020311165,0.034869989328154306
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_predicted_200,1219.2435817693693,1154.221977,65.02160476936933,0.056333708822951425
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,group_constrained_quadratic,1243.9243693524647,1154.221977,89.70239235246481,0.07771675998200546
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,quadratic_150,1801.5860717641406,1872.102173,70.51610123585942,0.03766680165904568
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,quadratic_predicted_200,1820.4310498782395,1872.102173,51.6711231217605,0.027600589255744913
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,group_constrained_quadratic,1819.399700019576,1872.102173,52.70247298042409,0.02815149394115045
18,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_150,1231.1928201173262,1258.911972,27.71915188267394,0.022018340042185204
18,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_predicted_200,1253.9492649125941,1258.911972,4.962707087405988,0.003942060444084797
18,5C_67PER_4C_NEWSTRUCTURE,S4,group_constrained_quadratic,1258.4011411794327,1258.911972,0.5108308205674348,0.00040577167580342524
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_150,1767.4916523852535,1757.006579,10.485073385253372,0.005967577760136191
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_predicted_200,1750.730187647744,1757.006579,6.2763913522560415,0.0035722070863435517
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,group_constrained_quadratic,1723.9075903730452,1757.006579,33.098988626954906,0.018838283830327596
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,quadratic_150,1372.783826029003,1389.944278,17.160451970996974,0.012346143829369377
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,quadratic_predicted_200,1389.909739708461,1389.944278,0.03453829153886545,2.484868788305876e-05
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,group_constrained_quadratic,1390.348208084059,1389.944278,0.40393008405908404,0.00029060883263629946
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_150,1024.2808401803297,1175.259634,150.97879381967027,0.1284642043782389
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_predicted_200,1158.85993557489,1175.259634,16.399698425110046,0.013954106778341071
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,group_constrained_quadratic,1175.8655297307175,1175.259634,0.6058957307175206,0.000515542024237957
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_150,1537.5115820476417,1604.324627,66.81304495235827,0.04164558956954681
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_predicted_200,1578.790539794627,1604.324627,25.534087205372998,0.01591578585508617
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,group_constrained_quadratic,1554.0879930841804,1604.324627,50.23663391581954,0.0313132598417811
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_150,1029.4686534109676,1108.843394,79.3747405890324,0.07158336426814876
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_predicted_200,1116.4001700215845,1108.843394,7.556776021584483,0.006815007477588384
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,group_constrained_quadratic,1132.7210339142243,1108.843394,23.877639914224346,0.021533825284460635
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_150,1328.2363349649972,1339.096167,10.859832035002682,0.008109822358264343
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_predicted_200,1331.7290870269323,1339.096167,7.367079973067575,0.005501531670852416
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,group_constrained_quadratic,1339.6562443202888,1339.096167,0.5600773202888831,0.0004182502602062061
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_150,1436.854482497347,1738.001087,301.1466045026532,0.17327181597018942
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_predicted_200,1802.7081170509198,1738.001087,64.70703005091968,0.037230718976483404
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,group_constrained_quadratic,1713.2637233837613,1738.001087,24.73736361623878,0.014233226780622135
28,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_150,1453.0138347035065,1872.162756,419.1489212964934,0.2238848732318727
28,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_predicted_200,1838.396691713407,1872.162756,33.76606428659284,0.018035859424282253
28,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,group_constrained_quadratic,1777.67542024951,1872.162756,94.48733575049005,0.05046961619531868
29,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_150,1265.7322885296778,1289.233402,23.501113470322252,0.018228750072612727
29,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_predicted_200,1304.0384244993174,1289.233402,14.805022499317374,0.011483585886271797
29,5C_67PER_4C_NEWSTRUCTURE,S4,group_constrained_quadratic,1305.2832286937821,1289.233402,16.04982669378205,0.012449124160825963
30,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,quadratic_150,1073.6412304755802,1338.80245,265.1612195244197,0.19805851081645373
30,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,quadratic_predicted_200,1333.08160148311,1338.80245,5.720848516889873,0.004273108789791857
30,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,group_constrained_quadratic,1329.3140376319413,1338.80245,9.488412368058562,0.0070872385750851905
31,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_150,1524.8506289904494,1366.523535,158.32709399044938,0.11586122736660323
31,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_predicted_200,1437.2050719988945,1366.523535,70.68153699889444,0.051723614843482695
31,5C_67PER_4C_NEWSTRUCTURE,S4,group_constrained_quadratic,1434.5802604534151,1366.523535,68.05672545341508,0.049802819863922126
32,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_150,1499.6535325965845,1426.127053,73.52647959658452,0.05155675256416619
32,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_predicted_200,1438.0010140100485,1426.127053,11.87396101004856,0.008326019049334001
32,5_3C_54PER_4C_NEWSTRUCTURE,S5,group_constrained_quadratic,1439.5464145044928,1426.127053,13.419361504492826,0.00940965356225721
33,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_150,1345.0435289728364,1333.204184,11.839344972836443,0.008880368899919716
33,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_predicted_200,1343.2059534599325,1333.204184,10.001769459932575,0.007502053758880624
33,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,group_constrained_quadratic,1333.8674991187738,1333.204184,0.6633151187738804,0.0004975345312701782
34,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_150,1178.6235957501185,1192.341307,13.717711249881404,0.011504852821375419
34,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_predicted_200,1199.5714714864473,1192.341307,7.230164486447393,0.006063837966528986
34,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,group_constrained_quadratic,1204.6217173346886,1192.341307,12.280410334688668,0.010299408619489074
35,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,quadratic_150,584.566533851935,695.8446053,111.27807144806502,0.15991799117288497
35,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,quadratic_predicted_200,660.9319858833667,695.8446053,34.91261941663333,0.05017301154699824
35,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,group_constrained_quadratic,666.4720716795061,695.8446053,29.37253362049387,0.04221134057341792
36,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_150,1365.1626171392875,1336.872554,28.29006313928744,0.02116137626929503
36,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_predicted_200,1360.4902657637565,1336.872554,23.61771176375646,0.01766638988368106
36,5_3C_54PER_4C_NEWSTRUCTURE,S5,group_constrained_quadratic,1371.1006983887567,1336.872554,34.22814438875662,0.025603146901583124
37,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_150,1146.671757992142,1358.374276,211.7025180078581,0.15584991688097757
37,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_predicted_200,1246.9668984328823,1358.374276,111.40737756711769,0.08201522918644971
37,5C_67PER_4C_NEWSTRUCTURE,S4,group_constrained_quadratic,1259.9099476359795,1358.374276,98.4643283640205,0.07248689120789895
38,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_150,1068.4814173132468,1434.364828,365.8834106867532,0.25508392533364127
38,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_predicted_200,1300.4408469829182,1434.364828,133.92398101708181,0.09336814344772948
38,5_3C_54PER_4C_NEWSTRUCTURE,S5,group_constrained_quadratic,1343.125145860003,1434.364828,91.23968213999706,0.0636098155496581
39,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_150,1257.5676452793562,1517.306409,259.7387637206439,0.17118412087366586
39,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_predicted_200,1430.4578812597276,1517.306409,86.8485277402724,0.05723862182689324
39,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,group_constrained_quadratic,1415.1531750666759,1517.306409,102.15323393332415,0.06732538222167632
40,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_150,1057.5787856481018,1337.512772,279.9339863518983,0.20929443980808451
40,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_predicted_200,1271.8538244259323,1337.512772,65.65894757406772,0.04909033315314593
40,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,group_constrained_quadratic,1301.9655272714103,1337.512772,35.5472447285897,0.026577125447135322
41,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,quadratic_150,1073.369595058261,1105.402145,32.032549941739035,0.028978186885768198
41,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,quadratic_predicted_200,997.5261357874488,1105.402145,107.87600921255125,0.09758983162869768
41,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,group_constrained_quadratic,997.5838381086766,1105.402145,107.81830689132346,0.09753763133083432
42,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_150,1400.1138221342262,1584.852944,184.73912186577377,0.1165654659412828
42,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_predicted_200,1469.624587906697,1584.852944,115.22835609330309,0.07270602394344487
42,5C_67PER_4C_NEWSTRUCTURE,S4,group_constrained_quadratic,1436.6082257772534,1584.852944,148.24471822274654,0.09353846915827577
43,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_150,1131.039029430283,1297.886244,166.84721456971693,0.12855303408987892
43,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_predicted_200,1176.1968933014414,1297.886244,121.68935069855866,0.09375964285091741
43,5_3C_54PER_4C_NEWSTRUCTURE,S5,group_constrained_quadratic,1199.2455588927353,1297.886244,98.64068510726474,0.07600102517710693
44,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_150,1106.4876519079328,1141.83763,35.349978092067204,0.030958848406552518
44,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,quadratic_predicted_200,1161.0921485428048,1141.83763,19.254518542804817,0.01686274653849411
44,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,group_constrained_quadratic,1165.0848029877495,1141.83763,23.247172987749536,0.020359438484917978
45,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_150,1802.1617074460448,1586.143608,216.01809944604474,0.13619075748029288
45,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,quadratic_predicted_200,1661.186323434531,1586.143608,75.04271543453092,0.04731142568430721
45,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,group_constrained_quadratic,1633.8929424809955,1586.143608,47.74933448099546,0.030104042433587424
46,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,quadratic_150,1731.444139028662,1649.167402,82.27673702866196,0.0498898637754313
46,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,quadratic_predicted_200,1679.5955677033,1649.167402,30.42816570330001,0.018450622821187687
46,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,group_constrained_quadratic,1679.4428914575192,1649.167402,30.275489457519143,0.018358045047945436
47,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_150,1719.9990805681364,1580.404512,139.5945685681363,0.08832837891071289
47,5C_67PER_4C_NEWSTRUCTURE,S4,quadratic_predicted_200,1703.2824958894064,1580.404512,122.87798388940632,0.07775097005633347
47,5C_67PER_4C_NEWSTRUCTURE,S4,group_constrained_quadratic,1696.1239532989673,1580.404512,115.71944129896724,0.07322140655782133
48,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_150,1663.7205473798986,1654.587424,9.133123379898507,0.005519879607098057
48,5_3C_54PER_4C_NEWSTRUCTURE,S5,quadratic_predicted_200,1652.1370586967744,1654.587424,2.4503653032256807,0.001480952452365358
48,5_3C_54PER_4C_NEWSTRUCTURE,S5,group_constrained_quadratic,1628.6251857152035,1654.587424,25.962238284796513,0.015691064677641666
49,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,quadratic_150,1770.2774631188738,1738.801639,31.47582411887379,0.018102021192581697
49,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,quadratic_predicted_200,1788.9056142997056,1738.801639,50.10397529970555,0.028815233535505975
49,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,group_constrained_quadratic,1787.7800532289466,1738.801639,48.978414228946576,0.028167913539070787
