C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,nearest_strategy,nearest_strategy_code,bootstrap_valid_n,eol_median,eol_p10,eol_p90,eol_ci95_low,eol_ci95_high,eol_a_distribution_median,eol_a_distribution_p10,bootstrap_valid_iterations,life_interval_width_ratio,risk_grade
3.85,35.0,5.7,5.454545454545454,4.7368421052631575,10.19138755980861,0.7177033492822966,0.14701339655655,0,True,True,True,True,0.010458424909006357,0.0017180259145558063,0.008740398994450551,0.0008590129572779031,0.010458424909006357,0.012176450823562165,0.0017180259145558063,1.0,0.9790831501819872,1099.6925870735392,False,10.41519103691478,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1115.5614,921.845,1586.4705,891.6543,1730.0417,1112.1432,920.10266,1000,0.5957767,moderate_model_uncertainty
3.85,35.0,5.75,5.454545454545454,4.695652173913044,10.150197628458498,0.7588932806324102,0.1294808608935334,0,True,True,True,True,0.010565171628842481,0.0017141177084284518,0.008851053920414029,0.0008570588542142259,0.010565171628842481,0.012279289337270932,0.0017141177084284518,1.0,0.9788696567423151,1096.1489492370858,False,10.374001105564668,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1111.1213,917.99884,1589.4293,888.58954,1737.022,1108.6414,915.45026,1000,0.60428184,moderate_model_uncertainty
3.85,36.0,5.75,5.61038961038961,4.591304347826087,10.201693958215696,1.0190852625635225,0.13850631027869584,0,True,True,True,True,0.010526199390465986,0.0017121267031118084,0.008814072687354178,0.0008560633515559042,0.010526199390465986,0.012238326093577796,0.0017121267031118084,1.0,0.978947601219068,1098.0512130690058,False,10.425497435321866,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1113.147,919.31274,1590.435,890.549,1739.6471,1110.5406,917.09784,1000,0.6029054,moderate_model_uncertainty
3.85,37.0,5.75,5.766233766233766,4.48695652173913,10.253190287972895,1.2792772444946356,0.14879580826881567,0,True,True,True,True,0.010487227152089489,0.0017101356977951647,0.008777091454294323,0.0008550678488975824,0.010487227152089489,0.012197362849884652,0.0017101356977951647,1.0,0.979025545695821,1099.9593460283675,False,10.476993765079065,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1115.4695,921.2814,1591.7186,891.1807,1742.259,1112.6912,918.4511,1000,0.60103595,moderate_model_uncertainty
3.9,31.0,5.75,4.76923076923077,5.113043478260869,9.88227424749164,-0.3438127090300993,0.13157894736842105,0,True,True,True,True,0.01060706865902677,0.0017255427730549144,0.008881525885971856,0.0008627713865274572,0.010607068659026771,0.012332611432081685,0.0017255427730549144,1.0,0.9787858626819465,1092.47371934616,False,10.10607772459781,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1107.4247,914.5397,1580.6543,883.0872,1720.7767,1104.9441,912.37317,1000,0.6014988,moderate_model_uncertainty
3.9,33.0,5.7,5.0769230769230775,4.947368421052631,10.024291497975709,0.12955465587044657,0.15243242655049652,0,True,True,True,True,0.010422377462437654,0.0017254689685489819,0.008696908493888673,0.0008627344842744909,0.010422377462437654,0.012147846430986636,0.0017254689685489819,1.0,0.9791552450751247,1099.794524209607,False,10.248094975081878,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1115.623,922.54584,1578.8839,891.2527,1715.1466,1112.5078,920.9272,1000,0.58831525,moderate_model_uncertainty
3.9,34.0,5.7,5.230769230769232,4.842105263157895,10.072874493927127,0.38866396761133704,0.1567780898889651,0,True,True,True,True,0.010383405224061157,0.0017234779632323382,0.008659927260828818,0.0008617389816161691,0.010383405224061157,0.012106883187293496,0.0017234779632323382,1.0,0.9792331895518777,1101.7022612175563,False,10.296677971033297,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1117.9137,924.60236,1579.9911,893.4676,1717.492,1114.3074,922.48303,1000,0.58626056,moderate_model_uncertainty
3.9,35.0,5.65,5.384615384615385,4.778761061946902,10.163376446562287,0.6058543226684829,0.1808128070051059,0,True,True,True,True,0.010237686265848537,0.0017253951640430493,0.008512291101805488,0.0008626975820215247,0.010237686265848537,0.011963081429891586,0.0017253951640430493,1.0,0.9795246274683028,1107.180157305665,False,10.387179923668457,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1124.0613,930.20685,1579.3226,899.5998,1713.5643,1120.2856,928.4658,1000,0.57747364,moderate_model_uncertainty
3.9,35.0,5.7,5.384615384615385,4.7368421052631575,10.121457489878543,0.6477732793522275,0.16266709623170966,0,True,True,True,True,0.01034443298568466,0.0017214869579156948,0.008622946027768965,0.0008607434789578474,0.01034443298568466,0.012065919943600355,0.0017214869579156948,1.0,0.9793111340286307,1103.6158656793302,False,10.345260966984712,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1120.063,925.83154,1581.0754,896.37946,1720.0347,1116.4495,924.51526,1000,0.5850063,moderate_model_uncertainty
3.9,36.0,5.65,5.538461538461538,4.672566371681415,10.211027910142953,0.8658951667801231,0.18738189834227184,0,True,True,True,True,0.01019871402747204,0.0017234041587264057,0.008475309868745635,0.0008617020793632029,0.01019871402747204,0.011922118186198446,0.0017234041587264057,1.0,0.979602571945056,1109.107696092044,False,10.434831387249123,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1126.1841,931.37396,1581.1656,902.7843,1716.1206,1122.3384,929.9232,1000,0.5769853,moderate_model_uncertainty
3.9,36.0,5.7,5.538461538461538,4.63157894736842,10.170040485829958,0.906882591093118,0.16993907392281538,0,True,True,True,True,0.010305460747308166,0.0017194959525990512,0.008585964794709114,0.0008597479762995256,0.010305460747308166,0.012024956699907217,0.0017194959525990512,1.0,0.9793890785053836,1105.535362088864,False,10.393843962936128,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1122.169,927.3329,1583.285,898.95795,1722.5642,1118.4353,925.7812,1000,0.5845396,moderate_model_uncertainty
3.9,37.0,5.65,5.6923076923076925,4.566371681415929,10.258679373723622,1.1259360108917633,0.19511066192729007,0,True,True,True,True,0.010159741789095544,0.0017214131534097623,0.008438328635685782,0.0008607065767048812,0.010159741789095544,0.011881154942505306,0.0017214131534097623,1.0,0.9796805164218089,1111.0411724810122,False,10.482482850829792,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1127.9408,933.4173,1582.4441,904.2655,1718.6877,1124.2659,930.62585,1000,0.5754086,moderate_model_uncertainty
3.9,37.0,5.7,5.6923076923076925,4.526315789473684,10.218623481781377,1.1659919028340084,0.17842500782428425,0,True,True,True,True,0.010266488508931668,0.0017175049472824076,0.008548983561649261,0.0008587524736412038,0.010266488508931668,0.011983993456214077,0.0017175049472824076,1.0,0.9794670229821367,1107.460775065183,False,10.442426958887546,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1124.1257,929.1968,1585.6812,899.763,1725.086,1120.5698,926.52966,1000,0.5839955,moderate_model_uncertainty
3.9,38.0,5.65,5.846153846153847,4.460176991150442,10.306330837304289,1.3859768550034044,0.20386724820608393,0,True,True,True,True,0.010120769550719048,0.0017194221480931187,0.008401347402625929,0.0008597110740465593,0.010120769550719048,0.011840191698812166,0.0017194221480931187,1.0,0.9797584608985619,1112.9806112569001,False,10.530134314410459,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1129.7339,935.5451,1584.8215,905.0902,1720.7446,1126.1085,933.0942,1000,0.57471627,moderate_model_uncertainty
3.9,38.0,5.7,5.846153846153847,4.421052631578947,10.267206477732794,1.4251012145748998,0.18796054881413718,0,True,True,True,True,0.010227516270555171,0.0017155139419657642,0.008512002328589407,0.0008577569709828821,0.010227516270555171,0.011943030212520935,0.0017155139419657642,1.0,0.9795449674588896,1109.3921293531437,False,10.491009954838963,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1125.9182,931.6747,1588.0084,900.58124,1727.6185,1122.4052,928.9632,1000,0.582932,moderate_model_uncertainty
3.9,39.0,5.7,6.000000000000001,4.31578947368421,10.31578947368421,1.6842105263157912,0.19839441102508748,0,True,True,True,True,0.010188544032178677,0.0017135229366491206,0.008475021095529556,0.0008567614683245603,0.010188544032178677,0.011902066968827797,0.0017135229366491206,1.0,0.9796229119356427,1111.3294498241808,False,10.53959295079038,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1127.8049,933.86414,1589.3507,900.9645,1730.1613,1124.3131,930.61914,1000,0.5812056,moderate_model_uncertainty
3.95,31.0,5.7,4.708860759493671,5.157894736842104,9.866755496335776,-0.4490339773484333,0.1685032694061277,0,True,True,True,True,0.010386330015868948,0.0017329120225421575,0.00865341799332679,0.0008664560112710787,0.010386330015868948,0.012119242038411106,0.0017329120225421575,1.0,0.9792273399682621,1099.896172625034,False,10.090558973441945,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1115.9468,923.1004,1572.4784,891.1948,1708.727,1112.8372,920.6863,1000,0.5819077,moderate_model_uncertainty
3.95,32.0,5.7,4.860759493670885,5.052631578947368,9.913391072618253,-0.1918720852764828,0.1692988386303522,0,True,True,True,True,0.01034735777749245,0.0017309210172255138,0.008616436760266936,0.0008654605086127569,0.01034735777749245,0.012078278794717963,0.0017309210172255138,1.0,0.9793052844450152,1101.8013560610962,False,10.137194549724423,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1117.9583,924.8091,1574.2144,893.8309,1709.8536,1114.7732,923.2463,1000,0.5808851,moderate_model_uncertainty
3.95,33.0,5.65,5.012658227848101,4.991150442477876,10.003808670325977,0.021507785370225463,0.18894713182605172,0,True,True,True,True,0.01020163881927983,0.001732838218036225,0.008468800601243606,0.0008664191090181125,0.01020163881927983,0.011934477037316055,0.001732838218036225,1.0,0.9795967223614404,1107.2716972518826,False,10.227612147432147,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1123.7994,931.0695,1572.1572,899.4332,1703.2244,1120.5823,929.98474,1000,0.5704645,moderate_model_uncertainty
3.95,33.0,5.7,5.012658227848101,4.947368421052631,9.960026648900733,0.06528980679547036,0.17166342547171187,0,True,True,True,True,0.010308385539115955,0.0017289300119088702,0.008579455527207085,0.0008644650059544351,0.010308385539115955,0.012037315551024826,0.0017289300119088702,1.0,0.9793832289217681,1103.7123840923416,False,10.183830126006903,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1120.3562,927.20215,1576.7273,895.7324,1710.9818,1116.602,924.8844,1000,0.5797488,moderate_model_uncertainty
3.95,34.0,5.65,5.1645569620253164,4.884955752212389,10.049512714237705,0.27960120981292746,0.19247011048589147,0,True,True,True,True,0.010162666580903335,0.0017308472127195813,0.008431819368183754,0.0008654236063597907,0.010162666580903337,0.011893513793622917,0.0017308472127195813,1.0,0.9796746668381933,1109.1966011063946,False,10.273316191343875,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1126.1013,933.16547,1573.4764,901.1098,1704.3403,1122.4468,931.2976,1000,0.56860864,moderate_model_uncertainty
3.95,34.0,5.7,5.1645569620253164,4.842105263157895,10.006662225183211,0.32245169886742175,0.17553363338643074,0,True,True,True,True,0.01026941330073946,0.0017269390065922268,0.008542474294147232,0.0008634695032961134,0.01026941330073946,0.011996352307331686,0.0017269390065922268,1.0,0.9794611733985211,1105.629281030283,False,10.230465702289381,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1122.1863,929.1923,1578.8812,897.98364,1712.1116,1118.6997,926.87775,1000,0.5789493,moderate_model_uncertainty
3.95,35.0,5.6,5.3164556962025316,4.821428571428572,10.137884267631105,0.4950271247739595,0.2157398588335758,0,True,True,True,True,0.010016947622690713,0.0017327644135302924,0.00828418320916042,0.0008663822067651462,0.010016947622690713,0.011749712036221004,0.0017327644135302924,1.0,0.9799661047546185,1114.7121779366985,False,10.361687744737274,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1131.4955,938.6707,1571.2125,907.63916,1698.9022,1128.0837,936.9286,1000,0.55903167,moderate_model_uncertainty
3.95,35.0,5.65,5.3164556962025316,4.778761061946902,10.095216758149434,0.5376946342556295,0.19729662480051485,0,True,True,True,True,0.010123694342526838,0.0017288562074029377,0.0083948381351239,0.0008644281037014688,0.010123694342526838,0.011852550549929775,0.0017288562074029377,1.0,0.9797526113149464,1111.127419128192,False,10.319020235255604,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1127.687,934.3673,1574.5032,904.47766,1705.435,1124.2758,932.9823,1000,0.56765383,moderate_model_uncertainty
3.95,36.0,5.6,5.468354430379746,4.714285714285714,10.18264014466546,0.7540687160940314,0.22127447059889,0,True,True,True,True,0.009977975384314216,0.0017307734082136488,0.008247201976100568,0.0008653867041068244,0.009977975384314216,0.011708748792527864,0.0017307734082136488,1.0,0.9800440492313716,1116.6569847580313,False,10.40644362177163,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1133.2968,939.9169,1572.5208,911.05316,1701.3971,1130.4387,938.51825,1000,0.5581979,moderate_model_uncertainty
3.95,36.0,5.65,5.468354430379746,4.672566371681415,10.14092080206116,0.7957880586983306,0.20333387028963706,0,True,True,True,True,0.010084722104150342,0.0017268652020862943,0.008357856902064047,0.0008634326010431471,0.010084722104150342,0.011811587306236635,0.0017268652020862943,1.0,0.9798305557916993,1113.0641759151001,False,10.36472427916733,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1129.706,936.3997,1576.411,907.5748,1706.5138,1126.5237,934.10364,1000,0.56652904,moderate_model_uncertainty
3.95,37.0,5.6,5.620253164556962,4.607142857142858,10.22739602169982,1.0131103074141041,0.2278565028919974,0,True,True,True,True,0.00993900314593772,0.0017287824028970051,0.008210220743040715,0.0008643912014485026,0.00993900314593772,0.011667785548834724,0.0017287824028970051,1.0,0.9801219937081246,1118.6077758237116,False,10.45119949880599,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1135.7625,942.2422,1573.5897,913.0204,1703.9023,1132.725,939.88837,1000,0.5558799,moderate_model_uncertainty
3.95,37.0,5.65,5.620253164556962,4.566371681415929,10.18662484597289,1.0538814831410326,0.21047768855228988,0,True,True,True,True,0.010045749865773846,0.0017248741967696506,0.008320875669004196,0.0008624370983848253,0.010045749865773846,0.011770624062543497,0.0017248741967696506,1.0,0.9799085002684523,1115.0068961898098,False,10.41042832307906,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1131.72,938.39325,1577.9995,908.4783,1708.6602,1128.8176,935.45593,1000,0.565163,moderate_model_uncertainty
3.95,38.0,5.55,5.772151898734177,4.54054054054054,10.312692439274716,1.2316113581936365,0.2538011829891441,0,True,True,True,True,0.009793284187725099,0.0017306996037077162,0.008062584584017382,0.0008653498018538581,0.009793284187725099,0.011523983791432815,0.0017306996037077162,1.0,0.9804134316245499,1124.1829113875538,False,10.536495916380886,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1141.4341,949.14343,1574.3846,917.48486,1697.6797,1138.474,945.7013,1000,0.5477681,moderate_model_uncertainty
3.95,38.0,5.6,5.772151898734177,4.5,10.272151898734176,1.272151898734177,0.23539811045033174,0,True,True,True,True,0.009900030907561225,0.0017267913975803617,0.008173239509980864,0.0008633956987901809,0.009900030907561225,0.011626822305141588,0.0017267913975803617,1.0,0.9801999381848775,1120.5645760185714,False,10.495955375840346,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1137.1411,945.0249,1575.3726,913.8964,1706.418,1134.2832,941.5466,1000,0.55432665,moderate_model_uncertainty
3.95,38.0,5.65,5.772151898734177,4.460176991150442,10.23232888988462,1.3119749075837346,0.21861962828559217,0,True,True,True,True,0.010006777627397349,0.001722883191453007,0.008283894435944341,0.0008614415957265035,0.010006777627397349,0.011729660818850355,0.001722883191453007,1.0,0.9799864447452052,1116.9556048006125,False,10.45613236699079,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1133.1521,940.55756,1579.4578,909.319,1711.1957,1130.3264,937.6997,1000,0.56382567,moderate_model_uncertainty
3.95,39.0,5.6,5.924050632911393,4.392857142857142,10.316907775768534,1.5311934900542505,0.24381026397398917,0,True,True,True,True,0.009861058669184727,0.0017248003922637181,0.008136258276921009,0.0008624001961318591,0.009861058669184727,0.011585859061448446,0.0017248003922637181,1.0,0.9802778826616306,1122.5274103535703,False,10.540711252874704,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1139.4167,946.79376,1576.714,913.4438,1706.8279,1136.1903,943.6097,1000,0.55284446,moderate_model_uncertainty
3.95,39.0,5.65,5.924050632911393,4.353982300884955,10.278032933796348,1.5700683320264375,0.2276526219642774,0,True,True,True,True,0.009967805389020853,0.0017208921861363636,0.00824691320288449,0.0008604460930681818,0.009967805389020853,0.011688697575157218,0.0017208921861363636,1.0,0.9800643892219583,1118.91032672214,False,10.501836410902518,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1135.541,942.7822,1580.8451,909.35626,1713.7418,1132.3186,939.3381,1000,0.5619021,moderate_model_uncertainty
3.95,40.0,5.6,6.075949367088607,4.285714285714286,10.361663652802893,1.7902350813743215,0.2530061445036661,0,True,True,True,True,0.009822086430808232,0.0017228093869470745,0.008099277043861158,0.0008614046934735372,0.009822086430808232,0.011544895817755307,0.0017228093869470745,1.0,0.9803558271383835,1124.4963039665329,False,10.585467129909063,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1142.2537,949.37463,1577.898,915.0908,1709.1526,1138.1671,945.36053,1000,0.55024844,moderate_model_uncertainty
3.95,40.0,5.65,6.075949367088607,4.2477876106194685,10.323736977708077,1.8281617564691386,0.23747501052690548,0,True,True,True,True,0.009928833150644358,0.00171890118081972,0.008209931969824637,0.00085945059040986,0.009928833150644358,0.011647734331464078,0.00171890118081972,1.0,0.9801423336987113,1120.8710870561106,False,10.547540454814246,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1138.3844,945.4336,1582.2715,910.57214,1716.2987,1134.4956,941.5412,1000,0.55942255,moderate_model_uncertainty
3.95,41.0,5.65,6.227848101265822,4.1415929203539825,10.369441021619805,2.0862551809118397,0.2479930137813594,0,True,True,True,True,0.00988986091226786,0.0017169101755030764,0.008172950736764785,0.0008584550877515382,0.00988986091226786,0.011606771087770938,0.0017169101755030764,1.0,0.9802202781754643,1122.8379110320773,False,10.593244498725975,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1140.6055,947.4269,1583.3013,910.3701,1718.8665,1136.916,942.66626,1000,0.55748844,moderate_model_uncertainty
3.95,42.0,5.65,6.379746835443037,4.035398230088496,10.415145065531533,2.3443486053545417,0.25912193860426613,0,True,True,True,True,0.009850888673891365,0.001714919170186433,0.008135969503704932,0.0008574595850932165,0.009850888673891365,0.011565807844077798,0.001714919170186433,1.0,0.9802982226522172,1124.8108240081847,False,10.638948542637703,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1142.3137,948.86694,1584.7117,908.6835,1720.8541,1138.9233,943.84845,1000,0.5566288,moderate_model_uncertainty
4.0,31.0,5.65,4.65,5.203539823008849,9.853539823008848,-0.5535398230088484,0.2055328862080698,0,True,True,True,True,0.010165591372711126,0.0017402812720294003,0.008425310100681725,0.0008701406360147001,0.010165591372711126,0.011905872644740526,0.0017402812720294003,1.0,0.9796688172545778,1107.362974657523,False,10.077343300115018,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1123.5605,931.638,1564.9258,899.84015,1696.9213,1120.9757,929.59753,1000,0.56364363,moderate_model_uncertainty
4.0,32.0,5.65,4.8,5.097345132743362,9.89734513274336,-0.29734513274336205,0.2061856257697208,0,True,True,True,True,0.01012661913433463,0.0017382902667127569,0.008388328867621874,0.0008691451333563784,0.01012661913433463,0.011864909401047388,0.0017382902667127569,1.0,0.9797467617313308,1109.285250132978,False,10.12114860984953,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1125.4397,933.51764,1566.0459,902.0836,1698.028,1122.9371,932.0309,1000,0.5620277,moderate_model_uncertainty
4.0,33.0,5.6,4.95,5.035714285714286,9.985714285714286,-0.08571428571428541,0.2256911068008737,0,True,True,True,True,0.009980900176122007,0.0017402074675234678,0.008240692708598538,0.0008701037337617339,0.009980900176122007,0.011721107643645473,0.0017402074675234678,1.0,0.980038199647756,1114.7930876347036,False,10.209517762820456,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1131.6606,939.9875,1564.1304,908.1228,1691.5413,1128.6804,938.94824,1000,0.55152833,moderate_model_uncertainty
4.0,33.0,5.65,4.95,4.991150442477876,9.941150442477877,-0.04115044247787569,0.20813156213594153,0,True,True,True,True,0.010087646895958133,0.0017362992613961133,0.00835134763456202,0.0008681496306980566,0.010087646895958133,0.011823946157354246,0.0017362992613961133,1.0,0.9798247062080837,1111.2134164643035,False,10.164953919584047,physical_offset,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,1000,1128.2722,935.5828,1566.9408,904.48663,1699.1364,1125.0144,934.3181,1000,0.5595795,moderate_model_uncertainty
