response,predictor,standardized_beta,alpha,iteration
R100,C1,0.18456917123947508,10.0,14
R100,Q1,-0.257473125603182,10.0,14
R100,C2,0.1650386236530272,10.0,14
A,C1,0.2025169801806749,10.0,14
A,Q1,-0.2509316093924103,10.0,14
A,C2,0.187165262990454,10.0,14
R100,C1,-0.2527267853184806,10.0,15
R100,Q1,-0.14303881893977952,10.0,15
R100,C2,0.2358055027079618,10.0,15
A,C1,0.13584658911469547,10.0,15
A,Q1,-0.13462536060773853,10.0,15
A,C2,-0.13572158907421816,10.0,15
R100,C1,0.17738361695760493,10.0,16
R100,Q1,-0.2423348081492884,10.0,16
R100,C2,0.1946924441576796,10.0,16
A,C1,-0.2386736698283799,10.0,16
A,Q1,0.25672513474702036,10.0,16
A,C2,-0.13595020970284713,10.0,16
R100,C1,0.165596521132423,10.0,17
R100,Q1,-0.23637225676906531,10.0,17
R100,C2,0.06850456764558718,10.0,17
A,C1,-0.22134513261168712,10.0,17
A,Q1,0.22393105407421807,10.0,17
A,C2,-0.18541062610375292,10.0,17
R100,C1,-0.25415943114847983,10.0,18
R100,Q1,-0.10887863616470485,10.0,18
R100,C2,0.2427103054816102,10.0,18
A,C1,0.19468390496990515,10.0,18
A,Q1,-0.2425752378600981,10.0,18
A,C2,-0.1724008625615125,10.0,18
R100,C1,-0.2453352621905943,10.0,19
R100,Q1,-0.16834767452020988,10.0,19
R100,C2,0.23247955006814075,10.0,19
A,C1,-0.04224904624072167,10.0,19
A,Q1,0.12421503999670254,10.0,19
A,C2,-0.21424873912025907,10.0,19
R100,C1,-0.26638534546524567,10.0,20
R100,Q1,-0.08820899962048692,10.0,20
R100,C2,0.2571709527753695,10.0,20
A,C1,-0.08685589732441,10.0,20
A,Q1,-0.026221928025326125,10.0,20
A,C2,0.07682558616054683,10.0,20
R100,C1,0.22499986723398344,10.0,22
R100,Q1,-0.24805380377596511,10.0,22
R100,C2,-0.07578596112395991,10.0,22
A,C1,0.07523699703346501,10.0,22
A,Q1,-0.17676510274883983,10.0,22
A,C2,0.02311710090656702,10.0,22
R100,C1,-0.27838156574717166,10.0,23
R100,Q1,-0.0157109222971614,10.0,23
R100,C2,0.2660024749240577,10.0,23
A,C1,0.28483671902004937,10.0,23
A,Q1,-0.10264940318437162,10.0,23
A,C2,-0.22483686862076047,10.0,23
R100,C1,0.23326258025377744,10.0,24
R100,Q1,-0.2530474795182982,10.0,24
R100,C2,0.12007817359141923,10.0,24
A,C1,0.02063943726177874,10.0,24
A,Q1,-0.14900317088932263,10.0,24
A,C2,0.1876196518670505,10.0,24
R100,C1,-0.24909712242265888,10.0,25
R100,Q1,-0.10865732207858354,10.0,25
R100,C2,0.25943305241894565,10.0,25
A,C1,0.22236682732732155,10.0,25
A,Q1,0.06538095273979953,10.0,25
A,C2,-0.2007026372913188,10.0,25
R100,C1,-0.2368181171052363,10.0,26
R100,Q1,-0.16686358963559417,10.0,26
R100,C2,0.23193990735025108,10.0,26
A,C1,-0.16887828962999574,10.0,26
A,Q1,-0.2521582035699891,10.0,26
A,C2,0.17282056725711184,10.0,26
R100,C1,-0.25823499433497205,10.0,27
R100,Q1,-0.10080038654778506,10.0,27
R100,C2,0.2632916850173722,10.0,27
A,C1,0.19387113083809776,10.0,27
A,Q1,-0.23415570099789826,10.0,27
A,C2,-0.02561080873377577,10.0,27
R100,C1,-0.25922930522902465,10.0,28
R100,Q1,-0.11871096975641707,10.0,28
R100,C2,0.25399425723924357,10.0,28
A,C1,-0.2843377647442529,10.0,28
A,Q1,-0.027866255937164797,10.0,28
A,C2,0.2208800114495509,10.0,28
R100,C1,-0.25015824880053483,10.0,29
R100,Q1,-0.16087522712666083,10.0,29
R100,C2,0.22755889609556043,10.0,29
A,C1,0.2726815696510211,10.0,29
A,Q1,0.011957281502223102,10.0,29
A,C2,-0.22789595088108017,10.0,29
R100,C1,-0.23357346891590475,10.0,30
R100,Q1,-0.19088005022998752,10.0,30
R100,C2,0.2243868153783782,10.0,30
A,C1,0.13394997264978084,10.0,30
A,Q1,0.2031682638972357,10.0,30
A,C2,-0.1727380620046963,10.0,30
R100,C1,-0.2638505944131227,10.0,31
R100,Q1,-0.08400418713882671,10.0,31
R100,C2,0.26756083202384195,10.0,31
A,C1,0.30218529844515596,10.0,31
A,Q1,-0.1651301651784442,10.0,31
A,C2,-0.13449074093138216,10.0,31
R100,C1,0.2016834138289843,10.0,32
R100,Q1,-0.22530866047157158,10.0,32
R100,C2,-0.034856903037517345,10.0,32
A,C1,-0.09173345815063978,10.0,32
A,Q1,0.09466169624577316,10.0,32
A,C2,-0.236607595317723,10.0,32
R100,C1,0.21102971040742596,10.0,33
R100,Q1,-0.25128062518169686,10.0,33
R100,C2,-0.0933182602606652,10.0,33
A,C1,0.0908043907367307,10.0,33
A,Q1,-0.11610994291118507,10.0,33
A,C2,-0.11408232930795001,10.0,33
R100,C1,-0.2752091976604688,10.0,34
R100,Q1,-0.04431865824116456,10.0,34
R100,C2,0.26582299466471565,10.0,34
A,C1,0.20767364218607431,10.0,34
A,Q1,-0.1729685021372457,10.0,34
A,C2,-0.08757707766020557,10.0,34
R100,C1,-0.2207163407479686,10.0,35
R100,Q1,-0.1481274274687377,10.0,35
R100,C2,0.26257511410108164,10.0,35
A,C1,0.17521873310435504,10.0,35
A,Q1,-0.2752326024232034,10.0,35
A,C2,-0.0660290111265825,10.0,35
R100,C1,-0.24696297386146243,10.0,37
R100,Q1,-0.16191926208088978,10.0,37
R100,C2,0.23953641164043316,10.0,37
A,C1,0.09130060614958807,10.0,37
A,Q1,-0.005623785817805501,10.0,37
A,C2,-0.20213095791304292,10.0,37
R100,C1,-0.271533591934408,10.0,38
R100,Q1,-0.05111043037894828,10.0,38
R100,C2,0.26917138758920384,10.0,38
A,C1,-0.14288941709604455,10.0,38
A,Q1,-0.15387675336352438,10.0,38
A,C2,0.21949921861017788,10.0,38
R100,C1,-0.2479661418211562,10.0,39
R100,Q1,-0.1781692051190492,10.0,39
R100,C2,0.22221944291244425,10.0,39
A,C1,-0.21208855882851843,10.0,39
A,Q1,-0.18078790958381605,10.0,39
A,C2,0.11346653276086038,10.0,39
R100,C1,-0.2579151936020437,10.0,41
R100,Q1,-0.13334408273732007,10.0,41
R100,C2,0.23537108277071317,10.0,41
A,C1,0.0010395881079068984,10.0,41
A,Q1,0.029533351849556064,10.0,41
A,C2,-0.18561913004690844,10.0,41
R100,C1,-0.27651615117691913,10.0,43
R100,Q1,-0.07157894185227785,10.0,43
R100,C2,0.25412120344757977,10.0,43
A,C1,0.030624315458927687,10.0,43
A,Q1,0.07963498262785212,10.0,43
A,C2,-0.07494747207278879,10.0,43
R100,C1,-0.2517201226413939,10.0,44
R100,Q1,-0.13862876165426405,10.0,44
R100,C2,0.23046327974589034,10.0,44
A,C1,0.13250265395651556,10.0,44
A,Q1,-0.04811774620515948,10.0,44
A,C2,-0.06776874303377557,10.0,44
R100,C1,0.24243605271621854,10.0,45
R100,Q1,-0.24903787969610533,10.0,45
R100,C2,-0.09654688130529962,10.0,45
A,C1,0.14671900097977297,10.0,45
A,Q1,-0.1513073977560708,10.0,45
A,C2,-0.29833008376190107,10.0,45
R100,C1,-0.22778728637607037,10.0,47
R100,Q1,-0.17429974140291907,10.0,47
R100,C2,0.251903169411342,10.0,47
A,C1,0.27259380352310836,10.0,47
A,Q1,-0.004460657842521671,10.0,47
A,C2,-0.26904959634612535,10.0,47
R100,C1,0.2744459985970746,10.0,48
R100,Q1,-0.23557259641019798,10.0,48
R100,C2,-0.07987143568480282,10.0,48
A,C1,0.1490549026161542,10.0,48
A,Q1,-0.05979418278191289,10.0,48
A,C2,-0.2040824252166744,10.0,48
R100,C1,-0.2210479341862088,10.0,50
R100,Q1,-0.14769672778348933,10.0,50
R100,C2,0.26423192029477877,10.0,50
A,C1,0.20259313850901553,10.0,50
A,Q1,-0.19516288522075537,10.0,50
A,C2,-0.16090897190751274,10.0,50
R100,C1,-0.22000896050916435,10.0,51
R100,Q1,-0.2281973290590888,10.0,51
R100,C2,0.19943682126017678,10.0,51
A,C1,-0.08964295372673883,10.0,51
A,Q1,-0.1302352964286768,10.0,51
A,C2,0.07669920030536988,10.0,51
R100,C1,-0.24205070012371585,10.0,53
R100,Q1,-0.16383183108598073,10.0,53
R100,C2,0.24692289669981143,10.0,53
A,C1,-0.04392274344526307,10.0,53
A,Q1,0.26907886986549606,10.0,53
A,C2,0.10897251196182238,10.0,53
R100,C1,-0.2608713003323011,10.0,54
R100,Q1,-0.13436359178426846,10.0,54
R100,C2,0.238268719793892,10.0,54
A,C1,0.2716547243746173,10.0,54
A,Q1,0.10547251159819215,10.0,54
A,C2,-0.2335790967279701,10.0,54
R100,C1,-0.23988547186612558,10.0,56
R100,Q1,-0.18101876437885092,10.0,56
R100,C2,0.22333777761417378,10.0,56
A,C1,0.16046143379835057,10.0,56
A,Q1,0.029098439311634923,10.0,56
A,C2,-0.2034453487485941,10.0,56
R100,C1,-0.2433370884303161,10.0,59
R100,Q1,-0.16868240081990485,10.0,59
R100,C2,0.23492656308409957,10.0,59
A,C1,-0.09935453949504734,10.0,59
A,Q1,0.08500557192895226,10.0,59
A,C2,-0.1041051932591565,10.0,59
R100,C1,-0.24857548558009965,10.0,60
R100,Q1,-0.1422599966614386,10.0,60
R100,C2,0.24362722941848927,10.0,60
A,C1,-0.11499849589166967,10.0,60
A,Q1,-0.13427788065164878,10.0,60
A,C2,0.09404374059542958,10.0,60
R100,C1,0.22790013880849455,10.0,61
R100,Q1,-0.19929091671922539,10.0,61
R100,C2,0.1673145325038574,10.0,61
A,C1,-0.11686744748897387,10.0,61
A,Q1,0.18809246366909066,10.0,61
A,C2,-0.24091790231695567,10.0,61
R100,C1,0.27828824249218365,10.0,62
R100,Q1,-0.23176048901235366,10.0,62
R100,C2,-0.08617146526470185,10.0,62
A,C1,0.1831225835260514,10.0,62
A,Q1,-0.131520921298516,10.0,62
A,C2,-0.2785700591565394,10.0,62
R100,C1,-0.23856528124190488,10.0,63
R100,Q1,-0.14437641460623574,10.0,63
R100,C2,0.2457777480633957,10.0,63
A,C1,0.1389489694437881,10.0,63
A,Q1,-0.17639760869521187,10.0,63
A,C2,-0.10078662146991697,10.0,63
R100,C1,0.2590832221485852,10.0,64
R100,Q1,-0.2646798663221077,10.0,64
R100,C2,-0.07363136356975575,10.0,64
A,C1,0.055023696637852317,10.0,64
A,Q1,-0.037060804292268705,10.0,64
A,C2,-0.21177660275166713,10.0,64
R100,C1,-0.26539269121399395,10.0,65
R100,Q1,-0.08670123389415671,10.0,65
R100,C2,0.2621802006912869,10.0,65
A,C1,-0.2546347614287514,10.0,65
A,Q1,-0.058886987015631755,10.0,65
A,C2,0.23903348058363327,10.0,65
R100,C1,-0.24900721340124263,10.0,66
R100,Q1,-0.16139641419805947,10.0,66
R100,C2,0.2287971632319931,10.0,66
A,C1,0.15090205848198038,10.0,66
A,Q1,0.0895063033918606,10.0,66
A,C2,-0.21196986735396553,10.0,66
R100,C1,0.23741709885931406,10.0,68
R100,Q1,-0.23150371360609145,10.0,68
R100,C2,0.0792682913656089,10.0,68
A,C1,-0.0074593862657383785,10.0,68
A,Q1,-0.11221470364738893,10.0,68
A,C2,0.20745092224068645,10.0,68
R100,C1,0.07301318985026851,10.0,70
R100,Q1,-0.16195759561804435,10.0,70
R100,C2,0.17947535236040765,10.0,70
A,C1,-0.08659454637981089,10.0,70
A,Q1,0.17787503994596351,10.0,70
A,C2,-0.2184922522268913,10.0,70
R100,C1,-0.27517942032566733,10.0,71
R100,Q1,-0.039354309911949194,10.0,71
R100,C2,0.26448476405615284,10.0,71
A,C1,0.13851571762146658,10.0,71
A,Q1,0.05746853827520236,10.0,71
A,C2,-0.14702837124731744,10.0,71
R100,C1,-0.24415533002932804,10.0,72
R100,Q1,-0.0908291076240612,10.0,72
R100,C2,0.27081877620137434,10.0,72
A,C1,-0.15734905011861802,10.0,72
A,Q1,-0.17017447786132106,10.0,72
A,C2,0.21016322587259645,10.0,72
R100,C1,-0.23624145812747518,10.0,73
R100,Q1,-0.19855959495095846,10.0,73
R100,C2,0.2181730661222204,10.0,73
A,C1,0.13616498401350102,10.0,73
A,Q1,-0.032446506205826994,10.0,73
A,C2,-0.2593941040636087,10.0,73
R100,C1,0.22328921047194766,10.0,75
R100,Q1,-0.23522756558049404,10.0,75
R100,C2,-0.09065803303834984,10.0,75
A,C1,0.1814382702312625,10.0,75
A,Q1,-0.16361744942308257,10.0,75
A,C2,-0.1101301819996165,10.0,75
R100,C1,-0.2448131106598054,10.0,77
R100,Q1,-0.15503934716888046,10.0,77
R100,C2,0.23234640145167834,10.0,77
A,C1,0.262787740519654,10.0,77
A,Q1,0.015319136303430595,10.0,77
A,C2,-0.2726870762545715,10.0,77
R100,C1,0.2516957636076608,10.0,79
R100,Q1,-0.23865853369155768,10.0,79
R100,C2,-0.11010227678247725,10.0,79
A,C1,0.050052955050727606,10.0,79
A,Q1,-0.10993171661555626,10.0,79
A,C2,-0.204735217896642,10.0,79
R100,C1,-0.2701629179519235,10.0,80
R100,Q1,-0.07319284604814373,10.0,80
R100,C2,0.2548111657144559,10.0,80
A,C1,0.16607970273856715,10.0,80
A,Q1,0.11394169575555198,10.0,80
A,C2,-0.1867885328847611,10.0,80
R100,C1,0.031864818678142816,10.0,85
R100,Q1,-0.07144320275349045,10.0,85
R100,C2,0.1587179896731625,10.0,85
A,C1,-0.20263391492335434,10.0,85
A,Q1,0.10991465894297339,10.0,85
A,C2,0.1525476406400213,10.0,85
R100,C1,-0.2573948970823043,10.0,86
R100,Q1,-0.10502844538818058,10.0,86
R100,C2,0.24392128160421,10.0,86
A,C1,0.10846053927306805,10.0,86
A,Q1,-0.05443025591415991,10.0,86
A,C2,-0.05594178217103115,10.0,86
R100,C1,-0.24979174791070877,10.0,87
R100,Q1,-0.10025429526295254,10.0,87
R100,C2,0.26558720694653465,10.0,87
A,C1,0.1991305392644102,10.0,87
A,Q1,-0.03860390091701767,10.0,87
A,C2,-0.18467620843309487,10.0,87
R100,C1,-0.23563717012802488,10.0,89
R100,Q1,-0.20003951003014475,10.0,89
R100,C2,0.22444674538976594,10.0,89
A,C1,0.03171432018908853,10.0,89
A,Q1,0.33675429905050835,10.0,89
A,C2,-0.11264878413802794,10.0,89
R100,C1,-0.2618298560676513,10.0,90
R100,Q1,-0.11305190227428889,10.0,90
R100,C2,0.23888566212954526,10.0,90
A,C1,-0.11114247287072981,10.0,90
A,Q1,-0.2739881759085859,10.0,90
A,C2,0.13790424342559138,10.0,90
R100,C1,-0.258353263974455,10.0,91
R100,Q1,-0.09838224910717999,10.0,91
R100,C2,0.26402886590246955,10.0,91
A,C1,0.1825534535361304,10.0,91
A,Q1,-0.0603190873916356,10.0,91
A,C2,-0.12376781807335294,10.0,91
R100,C1,-0.24207964257152015,10.0,92
R100,Q1,-0.1645431148590065,10.0,92
R100,C2,0.23868760107912157,10.0,92
A,C1,0.14528365202948249,10.0,92
A,Q1,0.20720546413236415,10.0,92
A,C2,-0.1805923714260207,10.0,92
R100,C1,-0.23467982145517996,10.0,93
R100,Q1,-0.1563091381339476,10.0,93
R100,C2,0.24150419744307436,10.0,93
A,C1,0.27904386318516483,10.0,93
A,Q1,-0.04677464305067405,10.0,93
A,C2,-0.20712974817853924,10.0,93
R100,C1,-0.24315677200376448,10.0,94
R100,Q1,-0.16329528536012988,10.0,94
R100,C2,0.2410395578160274,10.0,94
A,C1,-0.15583932825094854,10.0,94
A,Q1,0.028466773637995213,10.0,94
A,C2,0.107766300563204,10.0,94
R100,C1,-0.23644380412423496,10.0,95
R100,Q1,-0.16619605468258852,10.0,95
R100,C2,0.22763980575180018,10.0,95
A,C1,0.16937016020824314,10.0,95
A,Q1,-0.12229604244728227,10.0,95
A,C2,-0.16404696308541528,10.0,95
R100,C1,-0.27374870058087913,10.0,96
R100,Q1,-0.011170741435906979,10.0,96
R100,C2,0.26612024808220464,10.0,96
A,C1,0.23203220321627366,10.0,96
A,Q1,-0.057297911483295445,10.0,96
A,C2,-0.20500395653433373,10.0,96
R100,C1,-0.26167106731048223,10.0,98
R100,Q1,-0.11047979836319816,10.0,98
R100,C2,0.25665712955410397,10.0,98
A,C1,0.14590897360815144,10.0,98
A,Q1,-0.0786851843856401,10.0,98
A,C2,-0.05212717986638139,10.0,98
R100,C1,-0.26972576201636944,10.0,99
R100,Q1,-0.0651943496970145,10.0,99
R100,C2,0.2650811559636702,10.0,99
A,C1,0.10603407166214442,10.0,99
A,Q1,0.24915093195700289,10.0,99
A,C2,-0.22767532006933788,10.0,99
R100,C1,-0.25539050353276843,10.0,101
R100,Q1,-0.13307360324950812,10.0,101
R100,C2,0.2350758946823744,10.0,101
A,C1,-0.1895591389695978,10.0,101
A,Q1,-0.22804248603939692,10.0,101
A,C2,0.14960431278645586,10.0,101
R100,C1,-0.25685487439267685,10.0,102
R100,Q1,-0.1232116144582016,10.0,102
R100,C2,0.23909455199700308,10.0,102
A,C1,0.15035339796215538,10.0,102
A,Q1,-0.1254679570779498,10.0,102
A,C2,-0.14279686057785745,10.0,102
R100,C1,0.21632766783955465,10.0,103
R100,Q1,-0.22354902297028384,10.0,103
R100,C2,-0.2151322044877265,10.0,103
A,C1,0.12455720341042718,10.0,103
A,Q1,-0.14188647307405222,10.0,103
A,C2,-0.31419576654842624,10.0,103
R100,C1,0.13903091063342377,10.0,104
R100,Q1,-0.2341778000725016,10.0,104
R100,C2,0.010468208001392114,10.0,104
A,C1,0.09477821564613018,10.0,104
A,Q1,-0.14027618680913248,10.0,104
A,C2,-0.11834028664419108,10.0,104
R100,C1,-0.2695241799389132,10.0,105
R100,Q1,-0.08453646646432897,10.0,105
R100,C2,0.25822964277463245,10.0,105
A,C1,0.1876972878278198,10.0,105
A,Q1,-0.08427054071747585,10.0,105
A,C2,-0.13096555509040406,10.0,105
R100,C1,-0.24042943764318364,10.0,106
R100,Q1,-0.16250730376296313,10.0,106
R100,C2,0.2347069952344585,10.0,106
A,C1,0.05359746729922164,10.0,106
A,Q1,-0.12541136288267335,10.0,106
A,C2,-0.20031094585520406,10.0,106
R100,C1,-0.24848845413542855,10.0,107
R100,Q1,-0.11858431232176828,10.0,107
R100,C2,0.24868374568872725,10.0,107
A,C1,0.16320389901519197,10.0,107
A,Q1,-0.3046871274172391,10.0,107
A,C2,-0.00458901502763115,10.0,107
R100,C1,-0.2548089447910235,10.0,108
R100,Q1,-0.16270898429541286,10.0,108
R100,C2,0.21714706492868463,10.0,108
A,C1,-0.2570831591344423,10.0,108
A,Q1,-0.11689247997309246,10.0,108
A,C2,0.13052521443154502,10.0,108
R100,C1,0.25258225830017855,10.0,110
R100,Q1,-0.26450501817462146,10.0,110
R100,C2,-0.06076740270841463,10.0,110
A,C1,0.053672104177167335,10.0,110
A,Q1,-0.08575818853441224,10.0,110
A,C2,-0.26805344810202497,10.0,110
R100,C1,0.14922871698249704,10.0,111
R100,Q1,-0.15421342821633366,10.0,111
R100,C2,-0.14342711188928664,10.0,111
A,C1,0.07005924690047872,10.0,111
A,Q1,-0.07027431976903559,10.0,111
A,C2,-0.31785696166229804,10.0,111
R100,C1,0.2019783017694836,10.0,112
R100,Q1,-0.19083059442401484,10.0,112
R100,C2,0.19086487712913813,10.0,112
A,C1,-0.15192657471280982,10.0,112
A,Q1,0.10074128462832128,10.0,112
A,C2,-0.050921175373453434,10.0,112
R100,C1,-0.2776560649963852,10.0,115
R100,Q1,-0.02782429994887361,10.0,115
R100,C2,0.2663915619571587,10.0,115
A,C1,-0.11302774410447262,10.0,115
A,Q1,-0.1369281394145271,10.0,115
A,C2,0.20036680758343484,10.0,115
R100,C1,0.046140873340413224,10.0,116
R100,Q1,-0.17901462653415584,10.0,116
R100,C2,0.18164509054752073,10.0,116
A,C1,-0.05285547084408097,10.0,116
A,Q1,-0.14034608950713756,10.0,116
A,C2,0.1847838595907196,10.0,116
R100,C1,-0.24733194316416096,10.0,118
R100,Q1,-0.15087437596815625,10.0,118
R100,C2,0.23256428505418347,10.0,118
A,C1,0.2670185888964992,10.0,118
A,Q1,-0.02062373371868703,10.0,118
A,C2,-0.24919229516974598,10.0,118
R100,C1,-0.23256107471739862,10.0,119
R100,Q1,-0.2071150527004924,10.0,119
R100,C2,0.21745990290800585,10.0,119
A,C1,-0.2611751710424317,10.0,119
A,Q1,-0.07034632173551478,10.0,119
A,C2,0.20685130564557427,10.0,119
R100,C1,-0.2559218851053087,10.0,120
R100,Q1,-0.13291862406476349,10.0,120
R100,C2,0.2297336238591817,10.0,120
A,C1,0.2726557800411406,10.0,120
A,Q1,-0.004526576661363464,10.0,120
A,C2,-0.25493404602656855,10.0,120
R100,C1,-0.24778900655451352,10.0,121
R100,Q1,-0.11234677624303546,10.0,121
R100,C2,0.2583955979687197,10.0,121
A,C1,-0.18141020738724314,10.0,121
A,Q1,-0.17879621446811106,10.0,121
A,C2,0.24901342679470934,10.0,121
R100,C1,0.20998227631358377,10.0,122
R100,Q1,-0.2275860852544943,10.0,122
R100,C2,-0.020906063252932445,10.0,122
A,C1,0.12858924039702924,10.0,122
A,Q1,-0.14673095269848815,10.0,122
A,C2,-0.07617333613214382,10.0,122
R100,C1,-0.22650332667616105,10.0,125
R100,Q1,-0.1904951840698265,10.0,125
R100,C2,0.21862067251238101,10.0,125
A,C1,0.04752732058693066,10.0,125
A,Q1,-0.11028811258029238,10.0,125
A,C2,-0.030868127957301605,10.0,125
R100,C1,-0.2361724868532986,10.0,126
R100,Q1,-0.19694228350572165,10.0,126
R100,C2,0.22514113963387059,10.0,126
A,C1,0.08066352246168355,10.0,126
A,Q1,-0.015867263924301607,10.0,126
A,C2,-0.21989052473568915,10.0,126
R100,C1,-0.24474007920250868,10.0,128
R100,Q1,-0.16908798963619176,10.0,128
R100,C2,0.23406418985070912,10.0,128
A,C1,0.01859016178439062,10.0,128
A,Q1,-0.003434661548505792,10.0,128
A,C2,-0.21195400105167664,10.0,128
R100,C1,-0.23995908882410505,10.0,130
R100,Q1,-0.20480688875484077,10.0,130
R100,C2,0.20826429962988494,10.0,130
A,C1,-0.20649544592685784,10.0,130
A,Q1,-0.18087612386185728,10.0,130
A,C2,0.0741441517442557,10.0,130
R100,C1,-0.25577098816676164,10.0,131
R100,Q1,-0.13429127791222237,10.0,131
R100,C2,0.23808891396991227,10.0,131
A,C1,0.024822276550334765,10.0,131
A,Q1,-0.11949238285735038,10.0,131
A,C2,-0.10436420796458593,10.0,131
R100,C1,-0.25688987891988946,10.0,132
R100,Q1,-0.1664325200096822,10.0,132
R100,C2,0.21509907098755648,10.0,132
A,C1,-0.17381332220835688,10.0,132
A,Q1,-0.23380358373684748,10.0,132
A,C2,0.15217445429370086,10.0,132
R100,C1,-0.25858860836980396,10.0,133
R100,Q1,-0.09365468910233739,10.0,133
R100,C2,0.253592905730801,10.0,133
A,C1,0.0533857234552311,10.0,133
A,Q1,0.2225436665688945,10.0,133
A,C2,-0.046524345358760696,10.0,133
R100,C1,-0.23683413472632814,10.0,134
R100,Q1,-0.1942161225384235,10.0,134
R100,C2,0.2232014610002316,10.0,134
A,C1,0.0594230149326679,10.0,134
A,Q1,-0.05946300323054777,10.0,134
A,C2,-0.13339289805407126,10.0,134
R100,C1,-0.25718464285956927,10.0,135
R100,Q1,-0.1327512046067471,10.0,135
R100,C2,0.2447610918163148,10.0,135
A,C1,0.016358140160424712,10.0,135
A,Q1,0.26565995934371245,10.0,135
A,C2,-0.1466011390827059,10.0,135
R100,C1,-0.26669371596995095,10.0,136
R100,Q1,-0.06845819088329283,10.0,136
R100,C2,0.26443709796369425,10.0,136
A,C1,-0.1376877614808538,10.0,136
A,Q1,-0.20331225048515808,10.0,136
A,C2,0.21748451168650884,10.0,136
R100,C1,0.23859825489108635,10.0,138
R100,Q1,-0.25314377685043804,10.0,138
R100,C2,-0.08043001489281655,10.0,138
A,C1,0.08236430404698489,10.0,138
A,Q1,-0.11654410804189315,10.0,138
A,C2,-0.09553331703990633,10.0,138
R100,C1,0.22385753434381556,10.0,139
R100,Q1,-0.2286449799265988,10.0,139
R100,C2,0.09562077607599064,10.0,139
A,C1,-0.051905221247534675,10.0,139
A,Q1,0.037453549762415196,10.0,139
A,C2,0.07222493837879668,10.0,139
R100,C1,-0.2626483674536842,10.0,140
R100,Q1,-0.11987394838204793,10.0,140
R100,C2,0.238107596443104,10.0,140
A,C1,-0.0055860785131649545,10.0,140
A,Q1,0.2768400610736527,10.0,140
A,C2,-0.1132781497470107,10.0,140
R100,C1,0.060343920404900955,10.0,142
R100,Q1,-0.07871285471138506,10.0,142
R100,C2,-0.15401547895245174,10.0,142
A,C1,-0.03495348861097845,10.0,142
A,Q1,0.016353552084623295,10.0,142
A,C2,-0.06825018001207078,10.0,142
R100,C1,-0.2661905225971874,10.0,143
R100,Q1,-0.05858770300464377,10.0,143
R100,C2,0.2712555588576208,10.0,143
A,C1,0.2809309224207818,10.0,143
A,Q1,-0.006520548092358406,10.0,143
A,C2,-0.24186904872061527,10.0,143
R100,C1,-0.238820834315874,10.0,144
R100,Q1,-0.18018676766660882,10.0,144
R100,C2,0.22809883155366356,10.0,144
